State,Number of Cases,Below 6 Years,Between 6 and 12 Years,Between 12 and 16 Years,Between 16 and 18 Years,Total Minor Victims,Between 18 and 30 Years,Between 30 and 45 Years,Between 45 and 60 Years,60 Years and Above,Total Adult Victims,Total Victims
Andhra Pradesh,994,17,43,142,261,463,436,85,9,2,532,995
Arunachal Pradesh,92,3,12,25,10,50,32,7,2,1,42,92
Assam,1779,0,52,147,265,464,938,373,4,0,1315,1779
Bihar,1008,0,7,41,121,169,684,146,9,0,839,1008
Chhattisgarh,1626,33,79,340,532,984,475,150,13,5,643,1627
Goa,61,2,3,15,20,40,8,11,2,0,21,61
Gujarat,982,10,23,175,319,527,304,146,7,2,459,986
Haryana,1187,32,82,194,210,518,474,165,29,3,671,1189
Himachal Pradesh,252,6,13,67,62,148,81,23,6,0,110,258
Jammu & Kashmir,256,2,1,9,9,21,182,51,2,0,235,256
Jharkhand,1109,0,16,51,138,205,657,212,36,0,905,1110
Karnataka,1655,39,73,295,735,1142,418,94,14,3,529,1671
Kerala,1656,42,146,276,412,876,525,226,27,7,785,1661
Madhya Pradesh,4882,39,153,964,1323,2479,1790,545,86,8,2429,4908
Maharashtra,4189,107,241,732,1230,2310,1425,436,42,3,1906,4216
Manipur,55,1,2,7,8,18,24,11,2,0,37,55
Meghalaya,190,12,26,49,36,123,49,20,2,0,71,194
Mizoram,23,1,2,4,2,9,7,5,0,2,14,23
Nagaland,26,2,5,4,8,19,1,6,0,0,7,26
Odisha,1983,5,32,404,817,1258,597,127,2,0,726,1984
Punjab,838,15,33,175,187,410,281,139,9,1,430,840
Rajasthan,3656,6,37,195,539,777,2032,807,41,0,2880,3657
Sikkim,92,0,16,27,14,57,32,9,0,0,41,98
Tamil Nadu,319,0,0,0,0,0,279,37,4,0,320,320
Telangana,1278,25,65,272,257,619,480,137,26,16,659,1278
Tripura,207,5,28,40,35,108,73,24,2,0,99,207
Uttar Pradesh,4816,56,271,1078,710,2115,2092,543,65,2,2702,4817
Uttarakhand,336,2,13,41,35,91,166,74,5,0,245,336
West Bengal,1110,0,0,0,0,0,804,268,38,0,1110,1110
Andaman & Nicobar Islands,30,1,0,0,0,1,25,3,1,0,29,30
Chandigarh,68,2,4,18,17,41,21,6,0,1,28,69
Dadra & Nagar Haveli,14,0,0,6,3,9,5,0,0,0,5,14
Daman & Diu,12,0,0,2,6,8,1,3,0,0,4,12
Delhi,2155,55,116,294,335,800,1059,302,9,0,1370,2170
Lakshadweep,5,0,2,0,0,2,2,1,0,0,3,5
Puducherry,6,0,0,2,0,2,3,0,0,1,4,6
National,38947,520,1596,6091,8656,16863,16462,5192,494,57,22205,39068
