source,target,value
"Police investigations pending from 2015","Total cases investigated by police in 2016",970
"Cases registered with police in 2016","Total cases investigated by police in 2016",994
"Total cases investigated by police in 2016","Cases withdrawn by the government",0
"Disposed by the Police","Transferred¹", 10
"Disposed by the Police","Not Investigated²",0
"Final Report",True but insufficient Evidence,7
"Final Report",False,33
"Final Report",Mistake of Fact,3
"Final Report",Non Cognizable,0
"Final Report","Chargesheet submitted",937
"Disposed by the Police",Final Report, 980
"Total cases investigated by police in 2016","Disposed by the Police",990
"Total cases investigated by police in 2016","Cases pending investigation by end of 2016",974
"Cases awaiting trial at the end of 2015",Total cases sent for trial in 2016,2155
"Chargesheet submitted",Total cases sent for trial in 2016,937
Total cases sent for trial in 2016,Plea Bargaining,0
Total cases sent for trial in 2016,Compounded,15
Total cases sent for trial in 2016,Trials completed,631
Trials completed, Conviction, 79
Trials completed, Acquittal or Discharge, 552
Total cases sent for trial in 2016,Cases awaiting trial at the end of 2016,2446
