State,police_pending_2015,police_register_2016,total,police_withdrawn,police_transfer,police_not_investigated,No chargesheet but final report submitted,False,Mistake of Fact,Non Cognizable,Total Final Report,police_chargesheet,police_disposed,police_pending_2016,court_2015,court_2016,court_total,court_withdrawn,court_plea,court_compounded,court_completed,court_convicted,court_acquitted,court_disposal,court_pending
Andhra Pradesh,970,994,1964,0,10,0,7,33,3,0,43,937,990,974,2133,917,3050,0,0,15,622,76,546,637,2413
Arunachal Pradesh,34,92,126,0,0,0,14,1,3,0,18,63,81,45,699,61,760,0,0,2,24,14,10,26,734
Assam,2981,1779,4760,0,6,0,449,0,0,0,449,1276,1731,3029,7174,1260,8434,0,0,0,633,103,530,633,7801
Bihar,861,1008,1869,0,0,0,33,53,7,5,98,1157,1255,614,4631,1144,5775,0,0,0,389,145,244,389,5386
Chhattisgarh,210,1626,1836,0,0,0,15,8,0,0,23,1608,1631,205,2778,1557,4335,0,0,0,1452,437,1015,1452,2883
Goa,80,61,141,0,1,0,4,1,0,0,5,57,63,78,235,57,292,0,0,0,59,11,48,59,233
Gujarat,109,982,1091,5,1,0,25,5,1,1,32,874,907,179,3841,860,4701,0,0,1,213,26,187,214,4487
Haryana,159,1187,1346,0,1,0,18,282,0,0,300,827,1128,218,992,697,1689,0,0,0,481,100,381,481,1208
Himachal Pradesh,74,252,326,0,0,0,4,23,6,0,33,223,256,70,694,217,911,0,0,1,159,42,117,160,751
Jammu & Kashmir,134,256,390,0,0,0,2,53,0,0,55,185,240,150,816,184,1000,0,0,0,183,9,174,183,817
Jharkhand,655,1109,1764,0,0,0,46,29,14,15,104,878,982,782,2448,830,3278,0,0,0,550,179,371,550,2728
Karnataka,323,1655,1978,0,41,0,4,18,6,0,28,1311,1380,598,3021,1292,4313,0,0,0,689,90,599,689,3624
Kerala,1039,1656,2695,0,15,1,31,34,6,2,73,1558,1647,1048,7119,1544,8663,0,0,3,376,80,296,379,8284
Madhya Pradesh,391,4882,5273,1,1,0,14,31,11,7,63,4771,4835,437,9751,4550,14301,0,0,51,3555,917,2638,3606,10695
Maharashtra,2064,4189,6253,0,21,1,43,77,42,23,185,3825,4032,2221,18526,3717,22243,0,0,23,1574,307,1267,1597,20646
Manipur,287,55,342,0,0,0,11,0,0,0,11,51,62,280,141,51,192,0,0,0,6,2,4,6,186
Meghalaya,324,190,514,0,0,0,61,2,1,0,64,168,232,282,978,168,1146,0,0,0,85,64,21,85,1061
Mizoram,16,23,39,0,0,0,0,0,0,0,0,27,27,12,180,23,203,0,0,0,25,20,5,25,178
Nagaland,16,26,42,0,0,0,3,0,0,0,3,28,31,11,39,27,66,0,0,0,18,8,10,18,48
Odisha,1127,1983,3110,0,2,0,5,38,18,0,61,1996,2059,1051,8146,1921,10067,0,0,0,821,136,685,821,9246
Punjab,301,838,1139,0,0,0,23,105,3,0,131,654,785,354,471,637,1108,0,0,0,546,168,378,546,562
Rajasthan,488,3656,4144,0,7,0,6,1588,66,1,1661,2084,3752,392,6022,1879,7901,0,22,9,980,309,671,1011,6890
Sikkim,0,92,92,0,0,0,0,0,0,0,0,64,64,28,12,64,76,0,0,0,11,5,6,11,65
Tamil Nadu,417,319,736,0,3,0,38,0,8,1,47,386,436,300,2219,384,2603,0,0,0,480,91,389,480,2123
Telangana,708,1278,1986,0,12,0,18,32,15,0,65,942,1019,967,2502,921,3423,0,0,33,584,79,505,617,2806
Tripura,99,207,306,0,0,0,4,2,7,1,14,168,182,124,583,161,744,0,0,61,99,35,64,160,584
Uttar Pradesh,502,4816,5318,0,0,0,466,404,0,0,870,3708,4578,740,6900,3254,10154,0,0,15,1422,679,743,1437,8717
Uttarakhand,72,336,408,0,0,0,58,14,0,1,73,263,336,72,172,261,433,0,0,0,114,61,53,114,319
West Bengal,575,1110,1685,0,3,0,44,0,0,9,53,1318,1374,311,16730,1214,17944,0,0,0,1005,112,893,1005,16939
Andaman & Nicobar Islands,11,30,41,0,0,0,1,0,0,0,1,23,24,17,126,22,148,0,0,0,7,0,7,7,141
Chandigarh,30,68,98,0,0,0,0,0,7,0,7,57,64,34,72,52,124,0,0,0,53,17,36,53,71
Dadra & Nagar Haveli,6,14,20,0,0,0,0,0,0,0,0,18,18,2,17,18,35,0,0,0,14,2,12,14,21
Daman & Diu,2,12,14,0,0,0,0,0,0,0,0,8,8,6,13,8,21,0,0,0,1,0,1,1,20
Delhi,1053,2155,3208,0,5,0,27,6,25,0,8,2109,2172,1036,4867,2041,6908,0,0,0,575,150,425,575,6333
Lakshadweep,2,5,7,0,0,0,0,0,0,0,0,2,2,5,2,2,4,0,0,0,0,0,0,0,4
Puducherry,4,6,10,0,0,0,0,0,0,0,0,4,4,6,10,3,13,0,0,0,2,1,1,2,11
