Name,Grand Father/ Father/ Brother/ Son,Close Family Members,Relatives,Neighbors,Employer/Coworker,Partner / Husband / Separated/ Ex,Known persons on promise to marry the victim,Other known persons,Offenders not known to victims
Andhra Pradesh,6,29,44,361,5,14,280,255,0
Arunachal Pradesh,2,9,7,29,0,4,3,29,9
Assam,9,12,20,985,2,32,605,114,0
Bihar,0,5,122,380,53,12,383,26,27
Chhattisgarh,21,29,47,222,21,36,784,424,42
Goa,3,5,7,6,3,0,11,24,2
Gujarat,12,21,39,292,11,12,365,224,6
Haryana,25,19,44,549,35,22,109,369,15
Himachal Pradesh,6,2,2,43,7,3,84,104,1
Jammu & Kashmir,1,0,11,93,3,3,26,115,4
Jharkhand,0,6,74,585,26,37,334,10,37
Karnataka,16,39,87,463,37,7,379,614,13
Kerala,73,63,74,369,24,26,628,370,29
Madhya Pradesh,35,108,157,1115,47,43,1592,1692,93
Maharashtra,96,111,151,683,56,38,1422,1569,63
Manipur,1,3,7,9,0,1,18,16,0
Meghalaya,37,20,19,53,0,0,9,42,10
Mizoram,4,3,3,9,0,0,4,0,0
Nagaland,3,2,1,11,0,0,2,3,4
Odisha,0,0,0,6,0,0,0,558,1419
Punjab,16,26,39,223,3,5,203,320,3
Rajasthan,147,139,269,704,46,30,587,1704,30
Sikkim,1,1,2,36,0,7,5,8,32
Tamil Nadu,0,9,45,92,10,0,138,23,2
Telangana,1,127,155,355,60,5,371,180,24
Tripura,0,7,15,102,3,0,54,26,0
Uttar Pradesh,27,154,441,1851,80,80,1195,975,13
Uttarakhand,2,1,0,118,1,2,80,116,16
West Bengal,28,0,94,337,2,0,0,536,113
Andaman & Nicobar Islands,0,2,2,4,0,0,14,8,0
Chandigarh,2,1,7,12,1,1,11,29,4
D&N Haveli,0,0,0,10,0,4,0,0,0
Daman & Diu,0,0,0,0,0,0,0,12,0
Delhi,56,131,188,410,64,133,368,728,77
Lakshadweep,0,0,0,2,0,0,3,0,0
Puducherry,0,3,1,1,0,0,1,0,0
India,630,1087,2174,10520,600,557,10068,11223,2088
